from_id,from_login,from_name,to_id,to_login,to_name,followed_at,closure,follow_total,triad_set,k-connected,total-connected
3232840,futilewave,futilewave,24687283,jorbs,jorbs,2021-02-09T02:17:39Z,1,232,"['Deansocool', 'Wolfabelle', 'itsHafu', 'imTinii', 'honk', '5uppp', 'Yetiapocalypse']","['Yetiapocalypse', 'itsHafu', 'imTinii', 'honk', 'Trainwreckstv', 'AOC', 'Wolfabelle', 'pokimane', '5uppp']",9
86113595,cow294,Cow294,24687283,jorbs,jorbs,2021-02-09T02:04:23Z,1,99,"['iNcontroLTV', 'ster', 'Fareeha', 'kevinjordan', 'Naguura', 'Baalorlord']","['Baalorlord', 'pokimane', 'Fandom', 'iNcontroLTV']",4
158867043,elvisprucelee,elvisprucelee,24687283,jorbs,jorbs,2021-02-09T02:01:21Z,1,13,"['Alliestrasza', 'Dekkster']","['Dekkster', 'Alliestrasza']",2
139617510,wightfyre,wightfyre,24687283,jorbs,jorbs,2021-02-09T01:44:28Z,1,145,"['Twicetimes', 'haelian', 'courtenberry', 'SergeYager', 'Wriste13']","['AOC', 'desertbus']",2
109653512,laaaaaaaaaag10,laaaaaaaaaag10,24687283,jorbs,jorbs,2021-02-09T01:39:51Z,1,27,['Fitzyhere'],['Fitzyhere'],1
162453025,yakahoshi,yakahoshi,24687283,jorbs,jorbs,2021-02-09T01:28:27Z,0,16,[],['PUBG'],1
55705286,ryzo15000,Ryzo15000,24687283,jorbs,jorbs,2021-02-09T01:27:20Z,1,45,['DansGaming'],"['Amaz', 'Badger', 'Doublelift']",3
57255321,namenoneed00,namenoneed00 ,24687283,jorbs,jorbs,2021-02-09T01:23:26Z,1,68,"['ProblemsIRL', 'AdmiralBahroo', 'Shad3less', 'DonTheCrown', 'Celerity']","['Celerity', 'AdmiralBahroo', 'Riot Games']",3
206099640,summonedbruh,summonedbruh,24687283,jorbs,jorbs,2021-02-09T01:19:31Z,1,36,['5uppp'],['5uppp'],1
98080501,its_sikith,Its_sikith,24687283,jorbs,jorbs,2021-02-09T01:08:15Z,1,29,['Billy1Kirby'],"['nl_Kripp', 'imaqtpie']",2
21103162,attackerbob,attackerbob,24687283,jorbs,jorbs,2021-02-09T01:07:58Z,1,324,"['SimCopter1', 'Savjz', 'itsHafu', 'moneymoneyloot']","['itsHafu', 'nl_Kripp', 'Amaz', 'Doublelift', 'Dyrus', 'imaqtpie', 'SimCopter1', 'Trainwreckstv', 'Riot Games', 'Scarra']",10
85636116,cotterveli,cotterveli,24687283,jorbs,jorbs,2021-02-09T00:56:44Z,1,321,"['Ryan_Jarman', 'dakotaz', 'MajinBuu', 'ExtraCredits', 'TerrenceMHS', 'Baalorlord', 'jrm1ah', 'DespotThoughts', 'TheCrimsonBlur', 'Harrie', 'itsHafu', 'Yetiapocalypse', 'Deansocool', '5uppp', 'Wolfabelle']","['Yetiapocalypse', 'Svennoss', 'itsHafu', 'chessbrah', 'Trainwreckstv', 'dakotaz', 'Harrie', 'Baalorlord', 'Wolfabelle', 'pokimane', '5uppp', 'AustinShow']",12
44620532,unremarkablefellow,unremarkablefellow,24687283,jorbs,jorbs,2021-02-09T00:43:02Z,1,21,"['Savjz', 'itsHafu', 'bmkibler']","['Dyrus', 'nl_Kripp', 'bmkibler', 'itsHafu']",4
96476320,bidlacz,bidlacz,24687283,jorbs,jorbs,2021-02-09T00:40:35Z,1,144,"['dogdog', 'itsHafu', 'Savjz', 'plbrta', 'WobbleWeezy', 'Educated_Collins', 'BoarControlHS']","['WobbleWeezy', 'Aphromoo', 'keanelol', 'LCK', 'chessbrah', 'Scarra', 'chess24', 'dogdog', 'LEC', 'nl_Kripp', 'Doublelift', 'Dyrus', 'imaqtpie', 'Pobelter', 'pokimane', 'LexVeldhuis', 'LCS', 'FIDE_Chess', 'Educated_Collins', 'plbrta', 'Riot Games', 'itsHafu', 'Amaz', 'BoarControlHS', 'twlevewinsHS', 'Chess', 'GMHikaru']",27
