from_id,from_login,from_name,to_id,to_login,to_name,followed_at
86972205,chill_dj4k,Chill_DJ4K,24687283,jorbs,jorbs,2021-02-08T08:02:32Z
195599774,impulsevita,ImpulseVita,24687283,jorbs,jorbs,2021-02-08T07:38:36Z
210793303,stoopsyshoots,stoopsyshoots,24687283,jorbs,jorbs,2021-02-08T07:37:27Z
145999849,macadamio,macadamio,24687283,jorbs,jorbs,2021-02-08T07:30:59Z
78679518,winter576,Winter576,24687283,jorbs,jorbs,2021-02-08T07:29:47Z
29893349,z1lv3,z1lv3,24687283,jorbs,jorbs,2021-02-08T07:23:35Z
245855092,n0ted117,n0ted117,24687283,jorbs,jorbs,2021-02-08T07:11:30Z
125091196,myrandhir,myrandhir,24687283,jorbs,jorbs,2021-02-08T06:52:06Z
26792446,canaryumbrella,CanaryUmbrella,24687283,jorbs,jorbs,2021-02-08T06:23:24Z
137236749,lolcryomaniac,lolcryomaniac,24687283,jorbs,jorbs,2021-02-08T06:11:46Z
152073126,roku40573,roku40573,24687283,jorbs,jorbs,2021-02-08T06:08:31Z
47297457,mcspacky,Mcspacky,24687283,jorbs,jorbs,2021-02-08T05:50:22Z
502875626,bardokutv,BardokuTV,24687283,jorbs,jorbs,2021-02-08T05:43:01Z
74854651,jaunty411,Jaunty411,24687283,jorbs,jorbs,2021-02-08T05:31:49Z
157069049,lowkeyhuy,lowkeyhuy,24687283,jorbs,jorbs,2021-02-08T05:24:04Z
176138624,automationfor,automationfor,24687283,jorbs,jorbs,2021-02-08T05:21:04Z
93876149,dblbug,dblbug,24687283,jorbs,jorbs,2021-02-08T05:16:14Z
169838151,hardhittaah,HardHittaaH,24687283,jorbs,jorbs,2021-02-08T05:13:55Z
86359107,somnochrome,somnochrome,24687283,jorbs,jorbs,2021-02-08T05:02:11Z
48457849,tozmab,Tozmab,24687283,jorbs,jorbs,2021-02-08T05:02:05Z
550410595,shanehelp,shanehelp,24687283,jorbs,jorbs,2021-02-08T04:55:53Z
108992280,repressedzebra1,RepressedZebra1,24687283,jorbs,jorbs,2021-02-08T04:40:01Z
174072569,arcanocrystal,Arcanocrystal,24687283,jorbs,jorbs,2021-02-08T04:31:53Z
72941507,ozal1ce,ozal1ce,24687283,jorbs,jorbs,2021-02-08T04:26:06Z
444146334,idgafomfglmfao,idgafomfglmfao,24687283,jorbs,jorbs,2021-02-08T04:22:46Z
143069779,wanito,Wanito,24687283,jorbs,jorbs,2021-02-08T04:05:55Z
172570591,mrkardos,mrkardos,24687283,jorbs,jorbs,2021-02-08T03:48:12Z
164888112,slicedown,Slicedown,24687283,jorbs,jorbs,2021-02-08T03:44:24Z
29137526,drayfas,Drayfas,24687283,jorbs,jorbs,2021-02-08T03:43:55Z
484530543,0yoi,0yoi,24687283,jorbs,jorbs,2021-02-08T03:27:13Z
102181206,stonzytv,Stonzytv,24687283,jorbs,jorbs,2021-02-08T03:24:20Z
74982944,elsuperprofe,ElSuperProfe,24687283,jorbs,jorbs,2021-02-08T03:19:08Z
63611763,pingsofthepeople,pingsofthepeople,24687283,jorbs,jorbs,2021-02-08T03:14:17Z
647505347,aapw_97,aapw_97,24687283,jorbs,jorbs,2021-02-08T03:13:13Z
30174909,mrquackerslol,MrQuackerslol,24687283,jorbs,jorbs,2021-02-08T03:02:28Z
26138883,subsubl1me,subSubl1me,24687283,jorbs,jorbs,2021-02-08T02:59:25Z
187923454,vzmuric,vzmuric,24687283,jorbs,jorbs,2021-02-08T02:50:59Z
175381830,lexicondevil_,lexicondevil_,24687283,jorbs,jorbs,2021-02-08T02:07:07Z
50766845,hikier,hikier,24687283,jorbs,jorbs,2021-02-08T02:00:06Z
584485945,timberdemonn,TimberdemoNN,24687283,jorbs,jorbs,2021-02-08T01:59:35Z
